ddg.type	ddg.num	ddg.name	ddg.value	ddg.return.linked	ddg.auto.created	ddg.time	ddg.snum	ddg.lnum
Operation	96	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.087	0	19
Finish	97	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.096	0	19
Start	98	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.098	0	19
Binding	99	...  <-  newX[, i]		FALSE	FALSE	11.099	0	19
Binding	100	...  <-  ...		FALSE	FALSE	11.105	0	19
Operation	101	FUN	FUN	FALSE	FALSE	11.108	0	19
Operation	102	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.112	0	19
Operation	103	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.126	0	19
Finish	104	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.139	0	19
Start	105	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.141	0	19
Binding	106	...  <-  newX[, i]		FALSE	FALSE	11.142	0	19
Binding	107	...  <-  ...		FALSE	FALSE	11.149	0	19
Operation	108	FUN	FUN	FALSE	FALSE	11.152	0	19
Operation	109	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.155	0	19
Operation	110	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.172	0	19
Finish	111	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.186	0	19
Start	112	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.187	0	19
Binding	113	...  <-  newX[, i]		FALSE	FALSE	11.189	0	19
Binding	114	...  <-  ...		FALSE	FALSE	11.197	0	19
Operation	115	FUN	FUN	FALSE	FALSE	11.201	0	19
Operation	116	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.205	0	19
Operation	117	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.22	0	19
Finish	118	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.232	0	19
Start	119	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.233	0	19
Binding	120	...  <-  newX[, i]		FALSE	FALSE	11.235	0	19
Binding	121	...  <-  ...		FALSE	FALSE	11.241	0	19
Operation	122	FUN	FUN	FALSE	FALSE	11.244	0	19
Operation	123	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.248	0	19
Operation	124	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.262	0	19
Finish	125	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.274	0	19
Start	126	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.275	0	19
Binding	127	...  <-  newX[, i]		FALSE	FALSE	11.277	0	19
Binding	128	...  <-  ...		FALSE	FALSE	11.282	0	19
Operation	129	FUN	FUN	FALSE	FALSE	11.285	0	19
Operation	130	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.288	0	19
Operation	131	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.302	0	19
Finish	132	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.314	0	19
Start	133	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.316	0	19
Binding	134	...  <-  newX[, i]		FALSE	FALSE	11.317	0	19
Binding	135	...  <-  ...		FALSE	FALSE	11.324	0	19
Operation	136	FUN	FUN	FALSE	FALSE	11.328	0	19
Operation	137	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.331	0	19
Operation	138	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.343	0	19
Finish	139	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.354	0	19
Start	140	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.356	0	19
Binding	141	...  <-  newX[, i]		FALSE	FALSE	11.357	0	19
Binding	142	...  <-  ...		FALSE	FALSE	11.364	0	19
Operation	143	FUN	FUN	FALSE	FALSE	11.368	0	19
Operation	144	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.371	0	19
Operation	145	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.382	0	19
Finish	146	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.394	0	19
Start	147	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.397	0	19
Binding	148	...  <-  newX[, i]		FALSE	FALSE	11.399	0	19
Binding	149	...  <-  ...		FALSE	FALSE	11.405	0	19
Operation	150	FUN	FUN	FALSE	FALSE	11.409	0	19
Operation	151	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.412	0	19
Operation	152	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.425	0	19
Finish	153	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.439	0	19
Start	154	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.441	0	19
Binding	155	...  <-  newX[, i]		FALSE	FALSE	11.442	0	19
Binding	156	...  <-  ...		FALSE	FALSE	11.448	0	19
Operation	157	FUN	FUN	FALSE	FALSE	11.451	0	19
Operation	158	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.454	0	19
Operation	159	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.464	0	19
Finish	160	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.478	0	19
Start	161	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.48	0	19
Binding	162	...  <-  newX[, i]		FALSE	FALSE	11.482	0	19
Binding	163	...  <-  ...		FALSE	FALSE	11.488	0	19
Operation	164	FUN	FUN	FALSE	FALSE	11.492	0	19
Operation	165	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.495	0	19
Operation	166	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.506	0	19
Finish	167	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.517	0	19
Start	168	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.52	0	19
Binding	169	...  <-  newX[, i]		FALSE	FALSE	11.522	0	19
Binding	170	...  <-  ...		FALSE	FALSE	11.527	0	19
Operation	171	FUN	FUN	FALSE	FALSE	11.53	0	19
Operation	172	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.534	0	19
Operation	173	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.543	0	19
Finish	174	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.554	0	19
Start	175	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.555	0	19
Binding	176	...  <-  newX[, i]		FALSE	FALSE	11.557	0	19
Binding	177	...  <-  ...		FALSE	FALSE	11.565	0	19
Operation	178	FUN	FUN	FALSE	FALSE	11.569	0	19
Operation	179	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.573	0	19
Operation	180	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.584	0	19
Finish	181	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.595	0	19
Start	182	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.598	0	19
Binding	183	...  <-  newX[, i]		FALSE	FALSE	11.6	0	19
Binding	184	...  <-  ...		FALSE	FALSE	11.606	0	19
Operation	185	FUN	FUN	FALSE	FALSE	11.61	0	19
Operation	186	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.614	0	19
Operation	187	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.623	0	19
Finish	188	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.633	0	19
Start	189	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.636	0	19
Binding	190	...  <-  newX[, i]		FALSE	FALSE	11.638	0	19
Binding	191	...  <-  ...		FALSE	FALSE	11.645	0	19
Operation	192	FUN	FUN	FALSE	FALSE	11.653	0	19
Operation	193	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.656	0	19
Operation	194	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.664	0	19
Finish	195	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.676	0	19
Start	196	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.678	0	19
Binding	197	...  <-  newX[, i]		FALSE	FALSE	11.68	0	19
Binding	198	...  <-  ...		FALSE	FALSE	11.686	0	19
Operation	199	FUN	FUN	FALSE	FALSE	11.69	0	19
Operation	200	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.694	0	19
Operation	201	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.704	0	19
Finish	202	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.718	0	19
Start	203	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.72	0	19
Binding	204	...  <-  newX[, i]		FALSE	FALSE	11.722	0	19
Binding	205	...  <-  ...		FALSE	FALSE	11.727	0	19
Operation	206	FUN	FUN	FALSE	FALSE	11.731	0	19
Operation	207	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.734	0	19
Operation	208	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.748	0	19
Finish	209	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.764	0	19
Start	210	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.766	0	19
Binding	211	...  <-  newX[, i]		FALSE	FALSE	11.768	0	19
Binding	212	...  <-  ...		FALSE	FALSE	11.776	0	19
Operation	213	FUN	FUN	FALSE	FALSE	11.78	0	19
Operation	214	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.784	0	19
Operation	215	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.796	0	19
Finish	216	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.81	0	19
Start	217	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.813	0	19
Binding	218	...  <-  newX[, i]		FALSE	FALSE	11.815	0	19
Binding	219	...  <-  ...		FALSE	FALSE	11.822	0	19
Operation	220	FUN	FUN	FALSE	FALSE	11.827	0	19
Operation	221	max(x) - x[1] + x[2]	max(x) - x[1] + x[2]	FALSE	FALSE	11.831	0	19
Operation	222	return (max(x) - x[1] + x[2])	return (max(x) - x[1] + x[2])	TRUE	FALSE	11.844	0	19
Finish	223	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	11.857	0	19
Finish	224	tr2 <- transition(r, ncf, 4, symm = FALSE)	tr2 <- transition(r, ncf, 4, symm = FALSE)	FALSE	FALSE	11.86	0	19
Operation	225	tr2	tr2	FALSE	FALSE	11.873	0	20
Operation	226	tr3 <- tr1 * tr2	tr3 <- tr1 * tr2	FALSE	FALSE	11.895	0	24
Operation	227	tr3 <- tr1 + tr2	tr3 <- tr1 + tr2	FALSE	FALSE	11.93	0	25
Operation	228	tr3 <- tr1 * 3	tr3 <- tr1 * 3	FALSE	FALSE	11.962	0	26
Operation	229	tr3 <- sqrt(tr1)	tr3 <- sqrt(tr1)	FALSE	FALSE	11.982	0	27
Operation	230	tr3[cbind(1:9, 1:9)] <- tr2[cbind(1:9, 1:9)]	tr3[cbind(1:9, 1:9)] <- tr2[cbind(1:9, 1:9)]	FALSE	FALSE	12.009	0	29
Operation	231	tr3[1:9, 1:9] <- tr2[1:9, 1:9]	tr3[1:9, 1:9] <- tr2[1:9, 1:9]	FALSE	FALSE	12.057	0	30
Operation	232	tr3[1:5, 1:5]	tr3[1:5, 1:5]	FALSE	FALSE	12.081	0	31
Operation	233	image(transitionMatrix(tr1))	image(transitionMatrix(tr1))	FALSE	FALSE	12.093	0	32
Operation	234	r <- raster(system.file("external/maungawhau.grd", package =	r <- raster(system.file("external/maungawhau.grd", package =	FALSE	FALSE	12.125	0	37
Operation	235	altDiff <- function(x) {    x[2] - x[1]}	altDiff <- function(x) {    x[2] - x[1]}	FALSE	FALSE	12.153	0	40
Start	236	hd <- transition(r, altDiff, 8, symm = FALSE)	hd <- transition(r, altDiff, 8, symm = FALSE)	FALSE	FALSE	12.191	0	41
Start	237	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.207	0	41
Binding	238	...  <-  newX[, i]		FALSE	FALSE	12.21	0	41
Binding	239	...  <-  ...		FALSE	FALSE	12.216	0	41
Operation	240	FUN	FUN	FALSE	FALSE	12.22	0	41
Operation	241	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.225	0	41
Operation	242	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.235	0	41
Finish	243	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.244	0	41
Start	244	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.246	0	41
Binding	245	...  <-  newX[, i]		FALSE	FALSE	12.248	0	41
Binding	246	...  <-  ...		FALSE	FALSE	12.255	0	41
Operation	247	FUN	FUN	FALSE	FALSE	12.26	0	41
Operation	248	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.264	0	41
Operation	249	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.274	0	41
Finish	250	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.284	0	41
Start	251	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.287	0	41
Binding	252	...  <-  newX[, i]		FALSE	FALSE	12.289	0	41
Binding	253	...  <-  ...		FALSE	FALSE	12.296	0	41
Operation	254	FUN	FUN	FALSE	FALSE	12.301	0	41
Operation	255	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.305	0	41
Operation	256	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.313	0	41
Finish	257	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.322	0	41
Start	258	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.324	0	41
Binding	259	...  <-  newX[, i]		FALSE	FALSE	12.326	0	41
Binding	260	...  <-  ...		FALSE	FALSE	12.332	0	41
Operation	261	FUN	FUN	FALSE	FALSE	12.337	0	41
Operation	262	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.342	0	41
Operation	263	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.352	0	41
Finish	264	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.362	0	41
Start	265	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.364	0	41
Binding	266	...  <-  newX[, i]		FALSE	FALSE	12.366	0	41
Binding	267	...  <-  ...		FALSE	FALSE	12.372	0	41
Operation	268	FUN	FUN	FALSE	FALSE	12.378	0	41
Operation	269	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.382	0	41
Operation	270	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.393	0	41
Finish	271	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.401	0	41
Start	272	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.403	0	41
Binding	273	...  <-  newX[, i]		FALSE	FALSE	12.405	0	41
Binding	274	...  <-  ...		FALSE	FALSE	12.412	0	41
Operation	275	FUN	FUN	FALSE	FALSE	12.425	0	41
Operation	276	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.429	0	41
Operation	277	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.437	0	41
Finish	278	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.445	0	41
Start	279	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.447	0	41
Binding	280	...  <-  newX[, i]		FALSE	FALSE	12.449	0	41
Binding	281	...  <-  ...		FALSE	FALSE	12.455	0	41
Operation	282	FUN	FUN	FALSE	FALSE	12.46	0	41
Operation	283	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.465	0	41
Operation	284	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.474	0	41
Finish	285	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.482	0	41
Start	286	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.485	0	41
Binding	287	...  <-  newX[, i]		FALSE	FALSE	12.487	0	41
Binding	288	...  <-  ...		FALSE	FALSE	12.493	0	41
Operation	289	FUN	FUN	FALSE	FALSE	12.497	0	41
Operation	290	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.502	0	41
Operation	291	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.511	0	41
Finish	292	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.518	0	41
Start	293	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.52	0	41
Binding	294	...  <-  newX[, i]		FALSE	FALSE	12.523	0	41
Binding	295	...  <-  ...		FALSE	FALSE	12.529	0	41
Operation	296	FUN	FUN	FALSE	FALSE	12.535	0	41
Operation	297	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.54	0	41
Operation	298	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.549	0	41
Finish	299	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.556	0	41
Start	300	FUN(newX[, i], ...)	FUN(newX[, i], ...)	FALSE	FALSE	12.558	0	41
Binding	301	...  <-  newX[, i]		FALSE	FALSE	12.561	0	41
Binding	302	...  <-  ...		FALSE	FALSE	12.569	0	41
Operation	303	FUN	FUN	FALSE	FALSE	12.573	0	41
Operation	304	x[2] - x[1]	x[2] - x[1]	FALSE	FALSE	12.577	0	41
Operation	305	return (x[2] - x[1])	return (x[2] - x[1])	TRUE	FALSE	12.593	0	41
